gene_symbol,uniprot_id,organism,pathway_tags,gravity_link,spine_curvature_link,priority_score,justification
SEC24D,O95622,Homo sapiens,"Transport,ECM,Bone","Essential for COPII-mediated export of procollagen from ER, determining matrix quality.",Mutations cause Cole-Carpenter syndrome (OI-like) with severe bone fragility and scoliosis. (DOI: 10.1016/j.ajhg.2013.08.013),85,Essential for collagen secretion and bone matrix integrity.
TMEM38B,Q9NVV0,Homo sapiens,"Ion_Channel,Bone,Signaling",TRIC-B channel regulating intracellular calcium release; essential for osteoblast function under load.,Mutations cause Osteogenesis Imperfecta (type XIV) with moderate-severe scoliosis. (DOI: 10.1038/ng.2334),82,Ion channel critical for calcium handling in bone cells.
LRP6,O00144,Homo sapiens,"Signaling,Bone,Wnt",Wnt co-receptor essential for transducing mechanical signals in bone (mechanosome).,Mutations cause osteoporosis and neural tube defects; essential for vertebral segmentation. (DOI: 10.1056/NEJMoa013478),82,Core component of Wnt mechanotransduction complex.
FRZB,Q92563,Homo sapiens,"Signaling,Wnt,Development",Secreted Frizzled-related protein (sFRP3); modulates Wnt signaling range and activity.,Polymorphisms associated with hip osteoarthritis and potentially spinal alignment (spondylosis). (DOI: 10.1093/hmg/ddl100),80,Regulator of Wnt signaling diffusion and activity.
PCDH10,Q9H7H6,Homo sapiens,"Adhesion,Signaling,Epigenetics",Protocadherin involved in cell-cell adhesion and tissue boundary formation.,Downregulated in bone tissue of AIS patients; potential epigenetic biomarker. (PMC12429667),80,Adhesion molecule identified as a tissue-specific biomarker in AIS.
SPARC,P09486,Homo sapiens,"ECM,Signaling,Bone",Osteonectin; matricellular protein regulating collagen assembly and mineralization under load.,Mutations cause Osteogenesis Imperfecta (type XVII) with scoliosis/kyphosis. (DOI: 10.1016/j.ajhg.2015.04.017),80,Matricellular regulator of collagen and bone quality.
IFITM5,A6NNB3,Homo sapiens,"Bone,Mineralization,Immune",BRIL; osteoblast-specific membrane protein essential for mineralization.,Mutations cause Osteogenesis Imperfecta (type V) with hyperplastic callus and scoliosis. (DOI: 10.1056/NEJMoa1208643),82,Critical for bone mineralization and structure.
NPR2,P20594,Homo sapiens,"Signaling,Growth_Plate,Mechanotransduction",Receptor for C-type Natriuretic Peptide (CNP); regulates endochondral ossification.,"Mutations cause Acromesomelic Dysplasia, Maroteaux type (AMDM) with spinal abnormalities. (DOI: 10.1038/ng1100-305)",82,Regulator of long bone growth and vertebral plate physiology.
EN1,Q05925,Homo sapiens,"Development,Transcription_Factor,Patterning",Engrailed-1; regulates dorso-ventral patterning and limb development.,Essential for proper vertebral column segmentation and dorsal identity. (DOI: 10.1038/361699a0),80,Transcription factor determining dorsal (spine) vs ventral identity.
DAG1,Q14118,Homo sapiens,"ECM,Cytoskeleton,Muscle",Connects ECM to cytoskeleton via DGC; essential for force transmission.,Muscular dystrophies (e.g. LAMA2/DAG1) feature severe scoliosis. (PMC7545609),100,Critical muscle-ECM link; similar to DMD.
ALPL,P05186,Homo sapiens,"Bone,Mineralization",Hydrolyzes pyrophosphate to allow mineralization under load.,Hypophosphatasia causes rickets and spinal deformities (kyphoscoliosis). (Orphanet),95,Critical enzyme for bone mineralization.
ENPP1,P22413,Homo sapiens,"Bone,Mineralization","Generates pyrophosphate, regulating mineralization balance.",Deficiency causes arterial calcification and rickets-like spinal changes. (Orphanet),92,Regulates mineralization balance.
DSTYK,Q6XUX3,Homo sapiens,"Signaling,Development,Kinase",Regulates mTORC1/TFEB pathway; essential for notochord vacuole biogenesis.,Mutation causes congenital scoliosis-like vertebral malformations in zebrafish. (PubMed 31980602),92,Zebrafish scoliosis model; novel kinase link.
MTOR,P42345,Homo sapiens,"Signaling,Mechanotransduction",Central signaling hub integrating nutrient and mechanical cues.,Suppression promotes osteoblast differentiation in degenerative scoliosis. (PubMed 27888418),90,Central signaling hub for growth and mechanics.
TGFB1,P01137,Homo sapiens,"Signaling,Mechanotransduction",Mechanically activated by ECM strain (LAP complex).,Novel susceptibility gene for adolescent idiopathic scoliosis. (PMC11470263),90,Major susceptibility gene; mechanically regulated.
TCF15,Q12870,Homo sapiens,"Segmentation,Somite,Transcription_Factor",Paraxial mesoderm factor essential for somite segmentation.,Essential for somite patterning; defects lead to vertebral anomalies.,88,Transcription factor for somite segmentation.
TFEB,P19484,Homo sapiens,"Signaling,Development,Transcription_Factor",Downstream of mTORC1; regulates notochord vacuole biogenesis.,Essential for spine development downstream of DSTYK. (PubMed 31980602),88,Downstream effector of mTOR/DSTYK.
AR,P10275,Homo sapiens,"Signaling,Growth_Plate",Concentrated in growth plate; regulates proliferation under load.,Idiopathic scoliosis patients have lower androgen levels. (PMC11470263),88,Hormone receptor localized to load-bearing growth plate.
BANF1,O75531,Homo sapiens,"Nucleus,Mechanotransduction",Interacts with Lamin A/C (mechanosensor); essential for nuclear envelope integrity.,Mutations cause Nestor-Guillermo Progeria Syndrome with skeletal defects/scoliosis. (GeneReviews),88,Nuclear mechanics and envelope integrity.
TCTN1,Q2MV58,Homo sapiens,"Cilia,Signaling",Transition zone protein complex; essential for flow sensing.,"Mutations cause Joubert Syndrome, characterized by scoliosis. (Orphanet)",85,Ciliary transition zone protein linked to scoliosis.
CC2D2A,Q9Y5K5,Homo sapiens,"Cilia,Structure",Transition zone protein; essential for ciliary function.,Mutations cause Meckel and Joubert Syndromes with scoliosis. (Orphanet),85,Ciliary transition zone protein linked to scoliosis.
ADAMTS2,P98153,Homo sapiens,"ECM,Enzyme",Procollagen N-proteinase; essential for collagen fibril assembly and stiffness.,Ehlers-Danlos Syndrome Type VIIC features severe skin fragility and skeletal defects. (Orphanet),85,Enzyme defining collagen fibril mechanics.
ADAMTS17,Q8TE56,Homo sapiens,"ECM,Structure",Interacts with Fibrillin-1; essential for microfibril assembly.,Mutations cause Weill-Marchesani-like syndrome with short stature and stiffness. (Orphanet),85,ECM component linked to stiffness and skeletal dysplasia.
SH3PXD2B,A1X283,Homo sapiens,"ECM,Mechanotransduction,Cytoskeleton",Tks5; required for podosome formation and ECM degradation (mechanosensing).,Mutations cause Frank-Ter Haar Syndrome with kyphoscoliosis. (PubMed 20139242),85,Podosome adaptor protein linked to skeletal dysplasia.
FKBP14,Q9NWM8,Homo sapiens,"ECM,Chaperone,ER",ER chaperone for collagen folding; essential for maintaining tissue tensile strength against gravity.,"Mutations cause Ehlers-Danlos Syndrome, Kyphoscoliotic Type 2. (DOI: 10.1016/j.ajhg.2012.01.003)",88,Essential collagen chaperone; defining gene for Kyphoscoliotic EDS.
SLC39A13,Q96H72,Homo sapiens,"Ion_Transport,ECM,Mechanotransduction",Zinc transporter required for lysyl hydroxylase function (PLOD1/3) and collagen crosslinking stiffness.,"Mutations cause Ehlers-Danlos Syndrome, Spondylodysplastic Type 3. (DOI: 10.1016/j.ajhg.2008.05.005)",85,Zinc transporter required for lysyl hydroxylase function and collagen crosslinking stiffness.
B3GALT6,Q96L58,Homo sapiens,"ECM,Enzyme,Glycosylation",Linker region enzyme for proteoglycan GAG synthesis; essential for matrix spacing and compressive resistance.,"Mutations cause Ehlers-Danlos Syndrome, Spondylodysplastic Type 2. (DOI: 10.1016/j.ajhg.2013.04.020)",85,Linker region enzyme for proteoglycan GAG synthesis; essential for matrix spacing.
B4GALT7,Q9UBV7,Homo sapiens,"ECM,Enzyme,Glycosylation",Linker region enzyme for proteoglycan GAG synthesis; essential for matrix spacing and compressive resistance.,"Mutations cause Ehlers-Danlos Syndrome, Spondylodysplastic Type 1. (DOI: 10.1016/j.ajhg.2008.12.002)",85,Linker region enzyme for proteoglycan GAG synthesis; essential for matrix spacing.
CHST14,Q8NCG5,Homo sapiens,"ECM,Enzyme,Glycosylation",Dermatan sulfate sulfotransferase; essential for collagen fibril organization and tissue integrity.,"Mutations cause Ehlers-Danlos Syndrome, Musculocontractural Type 1. (DOI: 10.1016/j.ajhg.2009.11.011)",88,Dermatan sulfate sulfotransferase; essential for collagen fibril organization.
DSE,Q9UL01,Homo sapiens,"ECM,Enzyme,Glycosylation",Dermatan sulfate epimerase; essential for collagen fibril organization and tissue integrity.,"Mutations cause Ehlers-Danlos Syndrome, Musculocontractural Type 2. (DOI: 10.1016/j.ajhg.2010.05.014)",85,Dermatan sulfate epimerase; essential for collagen fibril organization.
ZNF469,Q96JG9,Homo sapiens,"Transcription_Factor,ECM,Development",Regulates corneal and skeletal ECM genes; essential for tissue stiffness.,"Mutations cause Brittle Cornea Syndrome 1, characterized by severe kyphoscoliosis and joint hypermobility. (DOI: 10.1086/588173)",88,Regulates corneal and skeletal ECM genes; mutations cause severe kyphoscoliosis.
PRDM5,Q9NQX1,Homo sapiens,"Transcription_Factor,ECM,Development","Regulates corneal and skeletal ECM genes (COL11A1, COL4A1); essential for tissue stiffness.","Mutations cause Brittle Cornea Syndrome 2, characterized by severe kyphoscoliosis. (DOI: 10.1016/j.ajhg.2011.05.005)",85,Regulates corneal and skeletal ECM genes; mutations cause severe kyphoscoliosis.
GORAB,Q8N8F7,Homo sapiens,"Golgi,Cilia,Signaling",Golgi protein essential for Hedgehog signaling and skeletal development; cilia are gravity sensors.,"Mutations cause Gerodermia osteodysplastica, featuring osteoporosis and fractures/scoliosis. (DOI: 10.1038/ng.297)",85,Golgi protein essential for Hedgehog signaling and skeletal development.
RIN2,Q8WYP3,Homo sapiens,"Trafficking,Signaling,ECM",Rab5 effector regulating BMP signaling and ECM trafficking; essential for connective tissue maintenance.,"Mutations cause MACS syndrome (Macrocephaly, Alopecia, Cutis laxa, Scoliosis). (DOI: 10.1016/j.ajhg.2007.09.022)",82,Rab5 effector regulating BMP signaling and ECM trafficking.
ATP6V0A2,Q9Y487,Homo sapiens,"Trafficking,ECM,Glycosylation",V-ATPase subunit regulating Golgi pH and glycosylation of ECM proteins; essential for matrix quality.,"Mutations cause Autosomal Recessive Cutis Laxa Type IIA, featuring scoliosis. (OMIM)",82,V-ATPase subunit regulating Golgi pH and glycosylation of ECM proteins.
PYCR1,P32322,Homo sapiens,"Metabolism,ECM,Proline","Key enzyme for proline synthesis, the primary amino acid of collagen (stiffness).",Mutations cause Autosomal Recessive Cutis Laxa Type 2B with osteopenia and scoliosis. (DOI: 10.1038/ng.413),85,"Key enzyme for proline synthesis, the primary amino acid of collagen."
ALDH18A1,P54886,Homo sapiens,"Metabolism,ECM,Proline","Key enzyme for proline synthesis, the primary amino acid of collagen (stiffness).",Mutations cause Autosomal Recessive Cutis Laxa Type 3A with scoliosis. (DOI: 10.1038/ng.413),85,"Key enzyme for proline synthesis, the primary amino acid of collagen."
TNNT3,P45378,Homo sapiens,"Muscle,Contractility",Fast skeletal muscle troponin; regulates muscle contraction tone against gravity.,Mutations cause Distal Arthrogryposis Type 2B (Freeman-Sheldon variant) with contractures. (DOI: 10.1086/521136),85,Fast skeletal muscle troponin; mutations cause distal arthrogryposis and contractures.
MYH8,P13535,Homo sapiens,"Muscle,Motor_Protein",Neonatal/masticatory myosin; mutations cause contractures limiting movement against gravity.,"Mutations cause Trismus-pseudocamptodactyly syndrome, featuring contractures. (DOI: 10.1038/ng1855)",85,Neonatal/masticatory myosin; mutations cause trismus-pseudocamptodactyly syndrome.
PTRF,Q6NZI2,Homo sapiens,"Mechanotransduction,Muscle,Membrane","Essential for caveolae formation, which buffer membrane tension during mechanical stress.",Mutations cause Congenital Generalized Lipodystrophy type 4 with myopathy and skeletal muscle hypertrophy/stiffness. (DOI: 10.1086/526555),88,Caveolae are critical mechanosensors; loss leads to severe muscle/skeletal phenotype.
CILP,O75339,Homo sapiens,"ECM,Cartilage,Mechanotransduction",Upregulated in response to mechanical loading in cartilage.,Polymorphisms associated with Lumbar Disc Disease and potential spinal alignment issues. (DOI: 10.1038/ng1564),85,Cartilage protein linked to disc degeneration and mechanical response.
SCX,Q7RTU7,Homo sapiens,"Tendon,Development,Transcription_Factor","Essential for development of tendons and ligaments, the primary force transmission tissues.",Loss leads to severe defects in force transmission and potential spinal instability. (DOI: 10.1242/dev.01306),88,Master regulator of tendon/ligament fate; crucial for spine stability.
MKX,Q8IYA7,Homo sapiens,"Tendon,Mechanotransduction,Transcription_Factor",Transcription factor regulating tendon differentiation; expression is mechanically regulated.,Essential for collagen fibril assembly in tendons; loss leads to wavy tendons and reduced stiffness. (DOI: 10.1073/pnas.1215462110),85,Mechanosensitive regulator of tendon stiffness.
TNMD,Q9H2S6,Homo sapiens,"Tendon,ECM,Growth",Regulator of tenocyte proliferation and collagen fibril maturation under load.,Essential for tendon stiffness and integrity; disruption leads to altered mechanical properties. (DOI: 10.1128/MCB.23.16.5560-5569.2003),85,"Key marker for mature, stiff tendons resisting gravity."
PANX1,Q96RD7,Homo sapiens,"Ion_Channel,Mechanotransduction,Signaling",Mechanosensitive ATP release channel activated by stretch.,Mediates purinergic signaling in osteoblasts/chondrocytes in response to load. (DOI: 10.1152/ajpcell.00222.2010),82,Mechanosensitive ATP release channel.
WNT16,Q9UBV4,Homo sapiens,"Signaling,Bone,Mechanotransduction",Mechanosensitive Wnt ligand regulating cortical bone thickness.,Regulation of cortical bone thickness affects vertebral fracture susceptibility and strength. (DOI: 10.1038/nature11164),85,Key regulator of cortical bone geometry under load.
ADAMTS5,Q9UNA0,Homo sapiens,"ECM,Degradation,Cartilage",Major aggrecanase in cartilage; expression is mechanically regulated., implicated in intervertebral disc degeneration and OA; driven by abnormal loading. (DOI: 10.1002/art.22415),85,Mechanosensitive enzyme degrading the primary compressive load bearer (aggrecan).
ITGA10,O75578,Homo sapiens,"Adhesion,Cartilage,ECM",Collagen receptor on chondrocytes sensing matrix composition.,Mutations cause chondrodysplasia with short limbs and potential spinal involvement. (DOI: 10.1371/journal.pgen.0030134),82,Chondrocyte-specific integrin.
MYF5,P13349,Homo sapiens,"Muscle,Segmentation,Development",Myogenic regulatory factor defining the epaxial (back) muscle lineage.,Essential for paraspinal muscle formation; defects lead to muscle asymmetry. (DOI: 10.1038/361699a0),85,Defines the paraspinal muscle lineage essential for spinal support.
PAX3,P23760,Homo sapiens,"Development,Neural_Crest,Muscle",Key regulator of dermomyotome and migratory muscle precursors.,Mutations cause Waardenburg syndrome; associated with skeletal defects and muscle hypoplasia. (DOI: 10.1038/ng0592-26),85,Regulator of paraspinal and limb muscle progenitors.
COL24A1,Q17RW2,Homo sapiens,"ECM,Bone,Development",Fibril-forming collagen expressed in developing bone.,Marker of osteoblast differentiation and bone formation. (DOI: 10.1016/S0945-053X(03)00021-9),80,Bone-specific collagen.
TMEM150C,Q8N7T1,Homo sapiens,"Ion_Channel,Mechanotransduction",Tentonin 3; enhances mechanosensitivity of Piezo1.,Modulates cellular response to mechanical stimuli; potential role in proprioception. (DOI: 10.1016/j.neuron.2016.06.014),82,Amplifier of Piezo1 mechanosensitivity.
ASPN,Q9BXN1,Homo sapiens,"ECM,Cartilage,Signaling",Asporin; SLRP binding collagen and TGF-beta; modulates mineralization.,Strongly associated with Intervertebral Disc Degeneration and OA. (DOI: 10.1038/ng1518),82,SLRP linking ECM to TGF-beta signaling in the disc.
OGN,P20774,Homo sapiens,"ECM,Bone,Signaling",Osteoglycin; SLRP regulating collagen fibrillogenesis and bone mass.,Linked to bone mass regulation and potential spinal fragility. (DOI: 10.1038/ng.253),80,Regulator of bone mass and collagen organization.
NPHP1,O15259,Homo sapiens,"Cilia,Structure,Signaling","Nephrocystin-1 localizes to the transition zone, acting as a ""Ciliary Gate"" controlling protein entry/exit (including Piezo1/Pkd2), essential for flow sensing.",Mutations cause Joubert Syndrome and Nephronophthisis; frequent skeletal anomalies and scoliosis. (DOI: 10.1038/ng.258),88,"Essential gatekeeper for ciliary mechanotransduction; key for the ""Stress-Lock"" mechanism."
DYNC2H1,Q14204,Homo sapiens,"Cilia,Transport,Motor_Protein",Retrograde IFT motor essential for ciliary maintenance and signaling (flow sensing).,Mutations cause Short-rib thoracic dysplasia (Jeune) with spinal anomalies. (DOI: 10.1038/ng.2299),88,Strong syndromic link + cilia mechanism.
SEC23A,Q15436,Homo sapiens,"Transport,ECM,Bone",COPII coat protein essential for ER-to-Golgi transport of procollagen (stiffness).,Mutations cause Cranio-lenticulo-sutural dysplasia (CLSD) with scoliosis. (DOI: 10.1038/ng1879),85,Strong syndromic link + collagen transport.
TAPT1,Q6NXT6,Homo sapiens,"Cilia,Development,Bone",Ciliary basal body protein regulating Golgi trafficking and axial patterning.,Mutations cause Osteochondrodysplasia with posterior-to-anterior transformations of the axial skeleton. (DOI: 10.1016/j.ajhg.2016.03.022),88,Strong homeotic/axial defect link.
PAPSS2,O95340,Homo sapiens,"ECM,Metabolism,Cartilage",Synthesizes PAPS (sulfate donor) for aggrecan sulfation (compressive stiffness).,Mutations cause Spondyloepimetaphyseal Dysplasia (Pakistani type) with scoliosis/kyphosis. (DOI: 10.1038/2458),88,Direct chemical link to cartilage stiffness.
CHST3,Q7LGC8,Homo sapiens,"ECM,Enzyme,Cartilage","Sulfates chondroitin (C6), essential for aggrecan osmotic pressure against gravity.",Mutations cause Spondyloepimetaphyseal Dysplasia (Omani type) with progressive kyphosis/scoliosis. (DOI: 10.1038/73436),88,Direct chemical link to cartilage stiffness.
CANT1,Q8WVQ1,Homo sapiens,"ECM,Enzyme,Bone",Calcium-activated nucleotidase essential for proteoglycan synthesis (compressive stiffness).,Mutations cause Desbuquois Dysplasia with monkey wrench femur and kyphoscoliosis. (DOI: 10.1016/j.ajhg.2009.11.001),85,Proteoglycan synthesis link.
FAM20C,Q8IXL6,Homo sapiens,"Bone,Enzyme,Signaling","Golgi kinase phosphorylating SIBLING proteins (DMP1, OPN) to regulate biomineralization (stiffness).",Mutations cause Raine Syndrome (osteosclerotic bone dysplasia) with spinal deformities in survivors. (DOI: 10.1038/ng2033),88,Master regulator of biomineralization.
CCN6,O95388,Homo sapiens,"ECM,Signaling,Cartilage",Matricellular protein regulating cartilage maintenance and stiffness.,Mutations cause Progressive Pseudorheumatoid Dysplasia (PPRD) with platyspondyly and scoliosis. (DOI: 10.1038/6394),85,Matricellular regulator linked to PPRD.
GALNS,P34059,Homo sapiens,"Metabolism,Lysosome,ECM",Degrades keratan sulfate/chondroitin-6-sulfate; accumulation disrupts ECM mechanics.,Mutations cause Mucopolysaccharidosis IV A (Morquio A) with severe kyphoscoliosis/platyspondyly. (DOI: 10.1038/ng0694-187),88,Classic storage disease with severe spinal phenotype.
GNPTAB,Q3T906,Homo sapiens,"Trafficking,Lysosome,ECM",Targets lysosomal enzymes; deficiency leads to ECM accumulation and stiffness defects.,Mutations cause Mucolipidosis II/III with dysostosis multiplex and scoliosis. (DOI: 10.1038/ng1654),85,Trafficking defect affecting ECM quality.
DCHS1,Q96JQ0,Homo sapiens,"PCP,Adhesion,Development",Atypical cadherin (partner of FAT4) regulating tissue polarity and shape.,Mutations cause Van Maldergem Syndrome with scoliosis and periventricular nodular heterotopia. (DOI: 10.1038/ng.3372),85,Partner of FAT4 linked to Van Maldergem.
DES,P17661,Homo sapiens,"Muscle,Cytoskeleton,Mechanotransduction",Intermediate filament connecting Z-discs to sarcolemma/nucleus; essential for mechanotransduction.,Mutations cause Desmin-related Myopathy (MFM1) with severe scoliosis. (DOI: 10.1093/brain/awh615),92,Key intermediate filament linking contractile apparatus to nucleus.
SGCA,Q16586,Homo sapiens,"Muscle,Adhesion,Mechanotransduction",Component of Dystrophin-Glycoprotein Complex (DGC); protects muscle membrane from contraction-induced stress.,Mutations cause LGMD2D with frequent scoliosis. (DOI: 10.1038/ng0695-151),90,Essential component of the DGC mechanoprotective complex.
SGCB,Q16585,Homo sapiens,"Muscle,Adhesion,Mechanotransduction",Component of DGC; essential for muscle membrane integrity.,Mutations cause LGMD2E with scoliosis. (DOI: 10.1038/ng0696-200),90,Essential component of the DGC mechanoprotective complex.
SGCG,Q13326,Homo sapiens,"Muscle,Adhesion,Mechanotransduction",Component of DGC; stabilizes the complex.,Mutations cause LGMD2C with severe scoliosis. (DOI: 10.1038/ng1195-300),90,Essential component of the DGC mechanoprotective complex.
SGCD,Q92629,Homo sapiens,"Muscle,Adhesion,Mechanotransduction",Component of DGC; essential for complex assembly.,Mutations cause LGMD2F with scoliosis. (DOI: 10.1038/ng0696-193),90,Essential component of the DGC mechanoprotective complex.
JAG1,P78504,Homo sapiens,"Segmentation,Notch,Signaling",Notch ligand regulating somite boundary formation and vertebral segmentation.,Mutations cause Alagille Syndrome with characteristic butterfly vertebrae and scoliosis. (DOI: 10.1038/ng0797-269),95,Primary Notch ligand driving vertebral segmentation fidelity.
LEMD2,Q8NC56,Homo sapiens,"Nucleus,Mechanotransduction,LINC",Inner nuclear membrane protein; interacts with Lamin A/C to regulate nuclear mechanics.,Mutations cause EDMD-like phenotype with potential skeletal involvement; essential for nuclear stiffness. (DOI: 10.1016/j.ajhg.2014.04.010),88,Regulator of nuclear envelope mechanical integrity.
TMEM43,Q9BTV4,Homo sapiens,"Nucleus,Mechanotransduction,LINC",Interacts with Emerin/Lamin; essential for nuclear envelope stability under stress.,Mutations cause EDMD-like phenotype; linked to nuclear mechanical failure. (DOI: 10.1016/j.ajhg.2008.01.015),85,Nuclear envelope protein linked to mechanotransduction failure.
CELSR2,Q9HCU4,Homo sapiens,"PCP,Cilia,Adhesion",Atypical cadherin (PCP) regulating ciliary orientation and tissue polarity.,PCP pathway defects are a fundamental cause of neural tube defects and scoliosis. (DOI: 10.1038/nature01614),85,Core PCP component regulating ciliary polarity.
CELSR3,Q9NYQ7,Homo sapiens,"PCP,Cilia,Adhesion",Atypical cadherin (PCP) regulating neural development and polarity.,Essential for planar cell polarity; defects linked to axis alignment. (DOI: 10.1038/nature01614),85,Core PCP component regulating tissue polarity.
ANKRD1,Q15327,Homo sapiens,"Muscle,Mechanotransduction,Transcription_Factor",Sarcomeric protein (CARP) upregulated by mechanical stretch; regulates gene expression.,Mutations linked to cardiomyopathy and potentially skeletal myopathy; stretch sensor. (DOI: 10.1056/NEJMoa0809235),85,Stretch-responsive transcriptional regulator in muscle.
CSRP3,P50461,Homo sapiens,"Muscle,Mechanotransduction,Z-Disc",Actin-binding protein (MLP) acting as a mechanosensor at the Z-disc.,Essential for striated muscle mechanotransduction; loss leads to Z-disc disarray. (DOI: 10.1016/S0092-8674(00)81249-1),88,Z-disc mechanosensor regulating myofibril assembly.
PLEC,Q15149,Homo sapiens,"Cytoskeleton,Adhesion,Mechanotransduction",Crosslinks intermediate filaments to desmosomes/hemidesmosomes; essential for tissue integrity.,Mutations cause Epidermolysis Bullosa Simplex with Muscular Dystrophy (EBS-MD) and scoliosis. (DOI: 10.1038/ng1196-263),90,Universal cytolinker essential for mechanical resilience.
SYNM,O15061,Homo sapiens,"Muscle,Cytoskeleton,Mechanotransduction",Intermediate filament protein linking desmin to costameres (force transmission).,Essential for mechanical stability of the costamere; loss affects force transmission. (DOI: 10.1083/jcb.200202115),85,Structural linker at the costamere interface.
OBSCN,Q5VST9,Homo sapiens,"Muscle,Signaling,Mechanotransduction",Giant sarcomeric protein linking myofibrils to sarcoplasmic reticulum.,Mutations linked to distal arthrogryposis and potential spinal defects. (DOI: 10.1016/j.ajhg.2012.04.013),85,Giant structural signaling protein in muscle.
MYOT,Q9UBF9,Homo sapiens,"Muscle,Z-Disc,Mechanotransduction",Actin-crosslinking protein at the Z-disc; stabilizes sarcomeres under contraction.,Mutations cause Myofibrillar Myopathy (MFM3) with scoliosis. (DOI: 10.1038/ng0900-30),88,Z-disc stabilizer linked to myofibrillar myopathy.
LDB3,O75112,Homo sapiens,"Muscle,Z-Disc,Mechanotransduction",ZASP; binds alpha-actinin and PKC; essential for Z-disc stability.,Mutations cause Myofibrillar Myopathy (MFM4) with spinal rigidity/scoliosis. (DOI: 10.1016/j.ajhg.2004.12.019),88,Z-disc component essential for myofibril maintenance.
BAG3,O95817,Homo sapiens,"Muscle,Chaperone,Z-Disc",Chaperone-assisted selective autophagy (CASA) component; maintains Z-discs under stress.,Mutations cause Myofibrillar Myopathy (MFM6) with severe rigid spine and scoliosis. (DOI: 10.1093/brain/awp242),92,Critical for Z-disc maintenance under mechanical stress.
CRYAB,P02511,Homo sapiens,"Muscle,Chaperone,Z-Disc",Small heat shock protein; chaperone for desmin and titin under mechanical stress.,Mutations cause Myofibrillar Myopathy (MFM2) with scoliosis. (DOI: 10.1038/ng0898-356),88,Chaperone protecting the contractile apparatus from stress.
FHL2,Q14192,Homo sapiens,"Mechanotransduction,Adhesion,Signaling",Localizes to focal adhesions and Z-discs; translocates to nucleus upon mechanical stress.,Regulates mechanotransduction pathways (integrin/actin); essential for muscle mass maintenance. (DOI: 10.1073/pnas.220556297),85,Mechanosensitive LIM protein shuttling between cytoskeleton and nucleus.
TGFB3,P10600,Homo sapiens,"Signaling,Mechanotransduction,ECM",TGF-beta signaling is mechanically regulated by ECM strain; essential for tissue maintenance under load.,Loeys-Dietz Syndrome Type 5 features scoliosis and aortic aneurysm. (DOI: 10.1038/ng.974),88,Syndromic link + mechanotransduction.
TTC21B,Q7Z4L5,Homo sapiens,"Cilia,Transport,IFT",IFT139; retrograde ciliary transport essential for flow sensing (gravity proxy).,Mutations cause Jeune Asphyxiating Thoracic Dystrophy and Nephronophthisis with skeletal defects. (DOI: 10.1038/ng.812),85,Ciliopathy skeletal link.
WDR19,Q8NEZ3,Homo sapiens,"Cilia,Transport,IFT",IFT144; essential for retrograde ciliary transport and signaling.,Mutations cause Jeune Syndrome and Sensenbrenner Syndrome (Cranioectodermal Dysplasia). (DOI: 10.1016/j.ajhg.2011.10.003),85,Ciliopathy skeletal link.
NSD1,Q96L73,Homo sapiens,"Epigenetics,Growth,Chromatin",Epigenetic regulator of growth genes; rapid growth is a key risk factor for spinal instability (Energy Deficit).,Sotos Syndrome (Cerebral Gigantism) features overgrowth and scoliosis (40-50%). (GeneReviews),88,Strong 'Rapid Growth' link to scoliosis.
EZH2,Q15910,Homo sapiens,"Epigenetics,Growth,Chromatin",Histone methyltransferase regulating developmental timing and growth.,"Weaver Syndrome features overgrowth, accelerated bone age, and scoliosis. (DOI: 10.1038/ng.2058)",88,Strong 'Rapid Growth' link to scoliosis.
PTPN11,Q06124,Homo sapiens,"Signaling,Mechanotransduction,Integrin",SHP2 is essential for integrin signaling and mechanotransduction downstream of focal adhesions.,Noonan Syndrome features scoliosis (15-30%) and chest deformities. (GeneReviews),85,Mechanotransduction core + syndromic link.
PORCN,Q9H237,Homo sapiens,"Signaling,Wnt,Secretion",Essential for Wnt ligand secretion; Wnt pathway is mechanically regulated in bone.,Focal Dermal Hypoplasia (Goltz Syndrome) features skeletal defects including scoliosis and vertebral anomalies. (GeneReviews),82,Wnt secretion link to skeletal defects.
MBTPS2,O43462,Homo sapiens,"ER,Stress,Signaling",Regulates UPR and response to ER stress (mechanical stress); cleaves OASIS (CREB3L1).,Osteogenesis Imperfecta Type XIX features scoliosis and bone fragility. (DOI: 10.1038/s41467-017-00566-7 context),85,UPR/ER stress mechanosensing link.
SP7,Q8NFJ8,Homo sapiens,"Bone,Transcription_Factor,Mechanotransduction",Essential for osteoblast differentiation downstream of mechanosensitive Runx2.,Mutations cause Osteogenesis Imperfecta Type XII with bone fragility and deformities. (DOI: 10.1016/j.ajhg.2006.10.008),88,Master regulator of bone formation downstream of mechanics.
IFT43,Q96EF6,Homo sapiens,"Cilia,Transport,IFT",Component of IFT complex A; essential for retrograde transport.,Mutations cause Sensenbrenner Syndrome (Cranioectodermal Dysplasia) with skeletal anomalies. (DOI: 10.1016/j.ajhg.2011.04.020),82,Ciliopathy link.
LIMS1,P48059,Homo sapiens,"Mechanotransduction,Adhesion,Integrin",Integrin-IPP complex component; essential for focal adhesion mechanotransduction.,"Loss causes severe muscle defects and potential skeletal misalignment. (Wu, 2004)",88,Strong mechanotransduction link via focal adhesion complex.
